num_image,nom_produit,description,origine,vente,type_produit,,
170,FECULE DE POMME DE TERRE 5 KG,C'est une fine poudre obtenue après le séchage de pommes de terre réduites ensuite en farine. Elle est utilisée en cuisine pour épaissir les préparations. Ses valeurs nutritives sont très faibles et dépourvues de gluten.,Monde,Au poids,Autres,,
171,FECULE DE POMME DE TERRE 25 KG,C'est une fine poudre obtenue après le séchage de pommes de terre réduites ensuite en farine. Elle est utilisée en cuisine pour épaissir les préparations. Ses valeurs nutritives sont très faibles et dépourvues de gluten.,Monde,Au poids,Autres,,
172,FLOCON DE POMME DE TERRE 5KG,Elle est obtenue par le séchage à l'air chaud et la macinazione des pommes de terre fraîches privées de la peau,Monde,Au poids,Autres,,
173,POIS D'ANGOLA 1KG,"Le pois d'Angola est un aliment très équilibré, idéal pour les végétariens avec un grand besoin de protéines Parfait pour les ragoûts et currys. Riche en protéines et acides aminés.",Angola,Au poids,Légumore,,
174,POIS DU CAP 1KG,"C'est un des légumes les plus présents dans les assiettes, tout simplement mijoté ou mélangé avec d'autres ingrédients comme la saucisse fumée ou le boucané.",Madagascar,Au poids,Légumore,,
175,POIS DU VAAL 1KG,"C'est un des légumes les plus présents dans les assiettes, tout simplement mijoté ou mélangé avec d'autres ingrédients comme la saucisse fumée ou le boucané.",,,Légumore,,
176,POIS CHICHE 1KG,C'est une légumineuse commune que l'on cuit à l'eau puis en sauce tomate pour accompagner le riz. C'est aussi l'ingrédient de base du houmous.,Asie,Au poids,Légumore,,
177,FUFU DE COCOYAM TROPIWAY 681GR,La farine de foufou désigne une pâte obtenue grace à la cuisson de l'igname dessechée et moulue,Afique,Au poids,Condiments et Epices,,
178,FARINE DE RIZ COQ 400GR,La farine de riz désigne une poudre obtenue grace au riz moulu,Monde,Au poids,Autres,,
179,FOUFOU DE MANIOC 1KG,La farine de foufou manioc désigne une pâte obtenue grace à la cuisson du manioc desseché et moulu,Afrique de l'ouest,Au poids,Autres,,
180,FOUFOU POUNDED YAM 4KG AFRICAN BEAUTY,La farine de foufou patate douce désigne une pâte obtenue grace à la cuisson de la patate douce dessechée et moulue,Afrique de l'ouest,Au poids,Autres,,
181,FOUFOU POUNDED YAM 900G AFRICAN BEAUTY,La farine de foufou patate douce désigne une pâte obtenue grace à la cuisson de la patate douce dessechée et moulue,Afrique de l'ouest,Au poids,Autres,,
182,A FAIRE - ,Carole il n'y a pas de 182 - Je t'en avait déjà fait part - Inda,,,,,
183,AFRICAN BEAUTY COCOYAM FUFU 681G,"Il se prépare avec de la semoule ou d'autres farines. Souvent servi accompagné de plats en sauce, de viande, de poisson, de légumes cuits, et tout genre de condiment africain",Afrique de l'ouest,Au poids,Autres,,
184,ARRAW 500G,Le arraw de mil est utilisé pour les desserts et bouillies. Il est exquis avec du lait caillé ou de la pâte à ngalakh (jus de bouye et pâte d'arachide) appellé 'lakhou neuteri'. ,Afrique de l'ouest,Au poids,Autres,,
185,THIERE LA VIVRIERE 400GR,"C'est une pâte alimentaire de type couscous aux grains fins obtenus à partir de la farine de mil mélangée à de l'eau, roulée et cuite à la vapeur. Elle est utilisée comme accompagnement de plats de type ragoût",Afrique de l'ouest,Au poids,Autres,,
186,THIACRY LA VIVRIERE 400GR,"Il est utilisé comme dessert mélangé à du yaourt sucré et aromatisé. Il se substitue aussi royalement au riz et aux pâtes et est utilisé avec de la viande, du poulet, du poisson ou crustacé",Afrique de l'ouest,Au poids,Autres,,
187,SANKHAL 500G,"Il est souvent consommé accompagné de poisson ou de viande. Il est aussi consommé sous forme de bouillie épaisse accompagnée de yaourt ou de lait frais, sucré et aromatisé à volonté",Afrique de l'ouest,Au poids,Autres,,
188,CERELAC BANANE/BLE/LAIT 400GR,Céréales lactées CERELAC banane/blé/lait dès 7 mois halal Céréales pour nourrissons et enfants en bas Age Banane et blé Halal CERELAC banane/blé/lait dès 7 mois halal Céréales lactées CERELAC banane/blé/lait dès 7 mois halal,Monde,Au poids,Autres,,
189,CERELAC BLE/LAIT 1KG,Céréales lactées CERELAC blé/lait dès 6 mois halal Céréales pour nourrissons et enfants en bas Age Blé Halal CERELAC blé/lait dès 6 mois halal Céréales lactées CERELAC blé/lait dès 6 mois halal,Monde,Au poids,Autres,,
190,CERELAC MIEL BLE LAIT 1KG,Céréales lactées CERELAC miel/blé/lait dès 12 mois halal Céréales pour nourrissons et enfants en bas Age Miel et blé Halal CERELAC miel/blé/lait dès 12 mois halal Céréales lactées CERELAC miel/blé/lait dès 12 mois halal,Monde,Au poids,Autres,,
191,FLOCONS D'AVOINE QUAKER 500GR,Ideal pour la bouillie aux petits déjeuners et desserts ,Monde,Au poids,Autres,,
192,BRIS. DE RIZ A1 SUPER SPECIAL THAILANDE 1KG CASSE 1 FOIS,Riz cassé une fois cultivé en Thaïland. Il sera parfait pour vos déjeuners ou diners,Thaïlande,Au poids,Autres,,
193,BRISURE DE RIZ  KC 1 X ETOILE D AFRIQUE 1KG,Le riz cassé une fois est facile à cuisiner et ravira vos convives,Afrique de l'ouest,Au poids,Autres,,
194,BRISURE SUPER SPECIAL 5KG THAILANDE - CASSE 1 FOIS,Le riz cassé une fois est facile à cuisiner et ravira vos convives,Thaïlande,Au poids,Autres,,
195,RIZ LONG PARFUME FAMILY OR 20KG,"Le riz contient peu de calories, fournit de l'énergie, des fibres et des nutriments pour l'organisme. Ce riz parfumé est idéal pour les repas entre amis, en famille et les mets de tous les jours.",Asie,Au poids,Autres,,
196,A1 SUPER THAILANDE 1KG  - CASSE 2 FOIS,"Le riz contient peu de calories, fournit de l'énergie, des fibres et des nutriments pour l'organisme. Il ne contient ni cholestérol ni lipides et de sodium.",Thaïlande,Au poids,Autres,,
197,BRISURE DE RIZ KC 2 x ETOILE D AFRIQUE 1KG,"Le riz contient peu de calories, fournit de l'énergie, des fibres et des nutriments pour l'organisme. Il ne contient ni cholestérol ni lipides et de sodium.",Afrique de l'Ouest,Au poids,Autres,,
198,BRIS. DE RIZ PARFUME N1 THAILANDE 20KG - CASSE 2 FOIS,Ce riz cassé deux fois et parfumé ne colle pas. Il est un excellent allié pour vos repas.,Thaïlande,Au poids,,,
199,,quel est la dif entre 198 et 199?,,,,,
200,BRISURE SUPER SPECIAL THIEP 20KG - CASSE 3 FOIS,Ce riz cassé trois fois est idéal pour la préparation de vos thiep,Asie,Au poids,Autres,,
201,RIZ LONG ETUVE INDICA 5KG ,Ce riz longs grains s'égraine facilement,Monde,Au poids,Autres,,
202,A FAIRE,"Carole La marque de ce riz étuvé sur l'image est ""Riz du monde"" et cela ne correspond à aucune des marques sur aucune des listes - Je t'en avait déjà fait part aussi - Inda",Asie,Au poids,Autres,,
203,RIZ LONG PRETRAITE IMPORT 1KG PALMIER,Ce riz longs grains ne colle pas ,Asie,Au poids,Autres,,
204,RIZ LONG SURINAM PALMIER 1KG,Ce riz très longs grains ne colle pas et est facile à cuisiner,Asie,Au poids,Autres,,
205,RIZ BASMATI ELEPHANT 5KG,"Riz long grain de qualité supérieure, naturellement parfumé",Inde / pakistan,,Autres,,
206,RIZ BASMATI 1KG. ISQH,"Riz long grain de qualité supérieure, naturellement parfumé",Inde / pakistan,Au poids,Autres,,
207,RIZ PURE BASMATI TILDA 10KG,"Riz pure sans gluten, facile à cuire, unique, cultivé seulement aux pieds des montagnes de l'Himalaya où les champs sont irrigués par l'eau des neiges descendant dans les rivières.",Asie,Au poids,Autres,,
208,RIZ PURE BASMATI TILDA 5KG,"Riz pure sans gluten, facile à cuire, unique, cultivé seulement aux pieds des montagnes de l'Himalaya où les champs sont irrigués par l'eau des neiges descendant dans les rivières.",Asie,Au poids,Autres,,
209,TILDA SELLA BASMATI SELA,"Riz long grain de qualité supérieure, naturellement parfumé",Asie,Au poids,Autres,,
210,"RIZ PRESIDENT ""GOLDEN SELLA BASMATI"" 5KG",Le riz President Golden Sella basmati est un bon riz basmati avec de longs granulés qui se détachent et un arôme très agréable. Ce riz est précuit dans sa toison. Le rapport longueur/largeur des grains donne un beau grain long. Le polissage du riz se fait de manière traditionnelle.,Asie,Au poids,Autres,,
211,"RIZ PRESIDENT ""GOLDEN SELLA BASMATI"" 10KG",Le riz President Golden Sella basmati est un bon riz basmati avec de longs granulés qui se détachent et un arôme très agréable. Ce riz est précuit dans sa toison. Le rapport longueur/largeur des grains donne un beau grain long. Le polissage du riz se fait de manière traditionnelle.,Asie,Au poids,Autres,,
212,"RIZ PRESIDENT ""GOLDEN SELLA BASMATI"" 20KG",Le riz President Golden Sella basmati est un bon riz basmati avec de longs granulés qui se détachent et un arôme très agréable. Ce riz est précuit dans sa toison. Le rapport longueur/largeur des grains donne un beau grain long. Le polissage du riz se fait de manière traditionnelle.,Asie,Au poids,Autres,,
213,RIZ PARFUMÉ TERSOL,"Riz long grain de qualité supérieure, naturellement parfumé",Asie,Au poids,Autres,,
214,RIZ LONG PARFUME CAMBODGE 20KG PERLE ASIE,Ce riz longs grains et parfumé s'égraine facilement,Cambodge,Au poids,Autres,,
215,RIZ LONG PARFUME CAMBODGE 5KG PERLE ASIE,Ce riz longs grains et parfumé s'égraine facilement,Cambodge,Au poids,Autres,,
216,216 REPREND LE 214 POURQUOI?,,,,,,
217,RIZ LONG PARFUME LOTUS 20KG,"Ce riz longs grains, cultivé et parfumé en Thaïland est facile à cuisiner et ne colle pas. Vous en serez ravis.",Asie,Au poids,Autres,,
218,RIZ LONG PARFUME LOTUS 1KG,"Ce riz longs grains, cultivé et parfumé en Thaïland est facile à cuisiner et ne colle pas. Vous en serez ravis.",Asie,Au poids,Autres,,
219,RIZ LONG PARFUME LOTUS 5KG,"Ce riz longs grains, cultivé et parfumé en Thaïland est facile à cuisiner et ne colle pas. Vous en serez ravis.",Asie,Au poids,Autres,,
220,RIZ LONG PARFUME LOTUS 10KG,"Ce riz longs grains, cultivé et parfumé en Thaïland est facile à cuisiner et ne colle pas. Vous en serez ravis.",Asie,Au poids,Autres,,
221,RIZ LONG PARFUME SUN BRAND 5KG,Le riz parfumé longs grains Sun ravira vos palets. Un riz fin et facile à cuisiner.,Asie,Au poids,Autres,,
222,RIZ LONG PARFUME TILDA 5KG,"Le riz parfumé longs grains Tilda est un excellent allié pour vos repas seul, en famille ou avec des amis. Vos invités en seront ravis.",Asie,Au poids,Autres,,
223,RIZ PARFUME DRAGON OR 5KGTL ,Le riz parfumé Dragon est excellent  pour accompagner vos sauces ou vos fritures.,Asie,Au poids,Autres,,
224,"RIZ PARFUME PHENIX 4,54KG",Le riz parfumé Phenix a totalement sa place dans un repas de fête. Il est fin et son parfum donne envie de se régaler.,Asie,Au poids,Autres,,
225,INDOMIE SAVEUR SPECIAL POULET 70GR HALAL ,"Indomie poulet, preparation: Verser les nouilles dans de l’eau bouillante (250ml) et laisser mijoter pendant 5 minutes. Remuer les nouilles pour les séparer. Ajouter le mélange d’assaisonnement.",Asie,Au poids,Condiments et Epices,,
226,NOUILLE AROME BOEUF 60GR YUM YUM,Nouille Boeuf preparation: Verser les nouilles dans de l’eau bouillante (250ml) et laisser mijoter pendant 5 minutes. Remuer les nouilles pour les séparer. Ajouter le mélange d’assaisonnement.,Asie,Au poids,Condiments et Epices,,
227,PATE DE BLE TENDRE SAVEUR CREVETTE TOMYUM 60GR,Laissez-vous agréablement surprendre par le mariage subtil de la crevette et des épices. Ces pâtes sont à base de blé tendre.,Asie,Unité,Condiments et Epices,,
228,PATE DE BLE TENDRE SAVEUR POULET 55GR,Ces pâtes sont à base de blé tendre. Vous y trouverez un sachet d'assaisonnement à la saveur poulet,Asie,Unité,Condiments et Epices,,
229,ADJA BOUILLON EPICE 1KG (BOL),"C'est un bouillon naturel à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,Au poids,Condiments et Epices,,
230,ADJA BOUILLON EPICE 1KG,"C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,Au poids,Condiments et Epices,,
231,ADJA CUBES EPICE 160*12GR,"C'est un bouillon naturel à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,Au poids,Condiments et Epices,,
232,DOLI CUBE 60PIECES ,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,Au poids,Condiments et Epices,,
233,BOUILLON DE POULE NEFF HALAL SEAU 2KG,C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de poulet ,Afrique,Au poids,Condiments et Epices,,
234,BOUILLON DE BŒUF NEFF HALAL SEAU 2KG,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, mais aussi dans toutes les sauces et grillades",Afrique,Au poids,Condiments et Epices,,
235,CUBES MAGGI ETOILE 100G*4G ,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,A l'unité,Condiments et Epices,,
236,CUBES MAGGI TABLETTE ETOILE 60*10G,"C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces, grillades et salades.",Afrique,A l'unité,Condiments et Epices,,
237,CUBES MAGGI CREVETTE 60*10GR,C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de crustacés,Afrique,A l'unité,Condiments et Epices,,
238,CUBES  MAGGI POULET HALAL 60*10GR,C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de poulets,Afrique,A l'unité,Condiments et Epices,,
239,BOUILLON SAVEUR POULET MAGGI ETOILE 900GR,C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de poulets,Afrique,Au poids,Condiments et Epices,,
240,BOUILLON SAVEUR BOEUF MAGGI ETOILE 900GR,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viandes, grillades",Afrique,Au poids,Condiments et Epices,,
241,JUMBO POULET POUDRE 1KG,C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de poulets,Afrique,Au poids,Condiments et Epices,,
242,JUMBO POISSON POUDRE 1KG,C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de poissons,Afrique,Au poids,Condiments et Epices,,
243,JUMBO CREVETTE FUME POUDRE1KG,C'est un bouillon  à base d’épices.Il est utilisé dans tous les plats à base de Crevettes,Afrique,A l'unité,Condiments et Epices,,
244,JUMBO AROMA POUDRE 1KG,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces et grillades.",Afrique,A l'unité,Condiments et Epices,,
245,JUMBO BOEUF POUDRE 1KG,C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viandes et grillades.,Afrique,A l'unité,Condiments et Epices,,
246,JUMBO RAMADAN 100+20%,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces et grillades.",Afrique,A l'unité,Condiments et Epices,,
247,JUMBO DISPLAY 48 ,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces et grillades.",Afrique,A l'unité,Condiments et Epices,,
248,JUMBO AROME DISPLAY 48 ,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces et grillades.",Afrique,A l'unité,Condiments et Epices,,
249,JUMBO TOUT EN 1 EPICES 500GR ,"C'est un bouillon à base d’épices.Il est utilisé dans tous les plats à base de viande, poulet et de poisson mais aussi dans toutes les sauces et grillades.",Afrique,A l'unité,Condiments et Epices,,
250,AROME HOT MAGGI 100ML,Sauce à base d’épices et de piment.Elle est utilisé pour relever le goût de vos plats.,Afrique,Au poids,Condiments et Epices,,
251,AROME MAGGI 100ML,Sauce aromatiquet.Elle est utilisé pour relever le goût de vos plats.,Afrique,Au poids,Condiments et Epices,,
252,AROME MAGGI 200GR,Sauce aromatique. Elle est utilisé pour relever le goût de vos plats.,Afrique,Au poids,Condiments et Epices,,
253,AROME MAGGI ETOILE 960GR,Sauce aromatique. Elle est utilisé pour relever le goût de vos plats.,Afrique,Au poids,Condiments et Epices,,
254,AROME MAGGI 250GR,Sauce aromatique. Elle est utilisé pour relever le goût de vos plats.,Afrique,Au poids,Condiments et Epices,,
255,JUMBO BOUILLON MOUTON,"Recettes et conditionnement qui répondent aux habitudes de consommation africaine; Ce bouillon est composé de plusieurs ingrédients dont le sel, l'amidon de maïs, l'oignon, les arômes, les épices, le persil.",Afrique,unité,Condiments et Epices,,
256,MAGGI BOUILLON VOLAILLE,"Retrouvez tout le bon goût de la volaille dans un petit cube ! Pour vos recettes de risottos, viandes blanches, légumes ou potages, utilisez le Bouillon KUB Volaille pour rehausser le goût de tous vos plats et leur donner une délicieuse note rôtie !",Afrique,unité,Condiments et Epices,,
257,BOUILLON DE POISSON,"Le bouillon de poisson est un type de bouillon, à la base de plusieurs recettes, en particulier des soupes et des sauces de poisson. Il est assemblé typiquement à partir d'os et de têtes de poissons, ainsi que de mirepoix",Afrique,unité,Condiments et Epices,,
258,JUMBO BOUILLON SAVEUR BOEUF,"Avec peu de matières grasses, ce bouillon au gout de boeuf permet de réaliser des recettes savoureuses et légères.",Afrique,unité,Condiments et Epices,,
259,KUB OR FAMILIAL MAGGI * 60,"KUB OR , un petit cube qui a du génie ! Ce produit iconique vous accompagne au quotidien avec son goût intense et inimitable pour une cuisine toujours plus savoureuse",Afrique,unité,Condiments et Epices,,
260,POUDRE VEGETA KRUIDENMIX 250GR,"Ce mélange d'épice est utilisé pour réhausser le goût  des plats comme des soupes, sauces, riz, légumes et autres..",Afrique,Unité,Condiments et Epices,,
261,GLUTAMATE AJINOMOTO 454GR,"C'est un ustensile savoureux utilisé pour réhausser le goût  des plats comme des soupes, sauces, riz, légumes et autres..",Afrique,Unité,Condiments et Epices,,
262,AIL SEMOULE 100,"C'est un ingredient puissant utilisé pour rehausser à merveille le goût et enlever les odeurs des viandes, poissons, farces, légumes et sauces.",Afrique,Unité,Condiments et Epices,,
263,AIL MOULU 100G,"C'est un ingredient puissant utilisé pour rehausser à merveille le goût et enlever les odeurs des viandes, poissons, farces, légumes et sauces.",Afrique,Unité,Condiments et Epices,,
264,ANIS VERT ENTIER 100GR,"Epice qui parfume les crudités, salades, potages, pâtisseries, sauces aigres-douces et poissons",Union Européenne,Unité,Condiments et Epices,,
265,BADIANE 50G,"Cette épice est plus parfumée que l’anis vert, elle donnera une touche boisée et reglissée à vos plats. Elle se marie très bien avec les poissons et fruits de mers ainsi que dans les déserts et salade composées.",Asie,Unité,Condiments et Epices,,
266,BADIANE EN VRAC,"Cette épice est plus parfumée que l’anis vert, elle donnera une touche boisée et reglissée à vos plats. Elle se marie très bien avec les poissons et fruits de mers ainsi que dans les déserts et salade composées.",Asie,POIDS,,,
267,CANNELLE MOULU 100GR,La cannelle est une épice douce dérivée de l'écorce des arbres dans le genre Cinnamome,Afrique,Unité,Condiments et Epices,,
268,CANNELLE TUY 6/8 CM ENTIER 100G,"La plus ancienne des épices réveille les préparations un peu sages : un petit bâton dans une compote, une crème anglaise, une blanquette de veau...Indispensable en touche finale pour les plats déjà épicés : tajines, colombos, curries et autres chutneys.

",Afrique,Unité,Condiments et Epices,,
269,CARDAMONE VERTE ENTIER 50G,"Ce sont de jolies gousses à la saveur à la fois poivrée, amère et citronnée. Elle est très employée écrasée dans la cuisine indienne et dans le café turc. Les anglais l'utilise dans la préparation de la confiture à la rhubarbe. Elle entre également dans la préparation du ras-el-hanout nord-africain.",Afrique,Unité,Condiments et Epices,,
270,CARDAMONE VERTE ENTIER 50G,"Ce sont de jolies gousses à la saveur à la fois poivrée, amère et citronnée. Elle est très employée écrasée dans la cuisine indienne et dans le café turc. Les anglais l'utilise dans la préparation de la confiture à la rhubarbe. Elle entre également dans la préparation du ras-el-hanout nord-africain.",Afrique,Unité,Condiments et Epices,,
271,CORIANDRE MOULU 100G,"Le coriandre est une épice digestive aux vertus antibactériennes et antifongiques très riche en anti-oxydants, déjà connue des Égyptiens, des Grecs et des Romains",Afrique,Unité,Condiments et Epices,,
272,CUMIN ENTIER 100G,"Il est indissociable des souks, de la cuisine du Maghreb et du Moyen-Orient. C'est un aromate indispensable pour les viandes d'agneau et les soupes. L'Europe du nord l'utilise dans la pâte de certains fromages. En Inde il entre dans la composition du Curry et donne un arôme léger aux plats de riz.",Asie,Unité,Condiments et Epices,,
273,CUMIN MOULU 100GR,"Il est indissociable des souks, de la cuisine du Maghreb et du Moyen-Orient. C'est un aromate indispensable pour les viandes d'agneau et les soupes. L'Europe du nord l'utilise dans la pâte de certains fromages. En Inde il entre dans la composition du Curry et donne un arôme léger aux plats de riz.",Asie,Unité,Condiments et Epices,,
274,CURCUMA  MOULU 100GR,"Il est indissociable des souks, de la cuisine du Maghreb et du Moyen-Orient. C'est un aromate indispensable pour les viandes d'agneau et les soupes. L'Europe du nord l'utilise dans la pâte de certains fromages. En Inde il entre dans la composition du Curry et donne un arôme léger aux plats de riz.",Asie,Unité,Condiments et Epices,,
275,EPICE BARBECUE MOULU 100G,"Mélange d'épices pour vos barbecues mais aussi pour assaisonner vos viandes au four (Ail, piment doux, poivre noir moulu, oignons, moutarde, Piment Jamaique, poivre noir grains, baies de genièvre, poivre vert, baies roses, curcuma, sel)",Monde,Unité,Condiments et Epices,,
276,EPICE POISSON MOULU 100G,"Assaisonnement pour poisson composé de Fenouil, romarin, muscade,basilic, piment doux, thym, laurier, sel(4%), cardamome",Monde,Unité,Condiments et Epices,,
277,EPICES COUSCOUS MOULU 100G,"Mélange d'épices pour le couscous. Assaisonnement piquant pour parfumer et relever le bouillon du couscous. Vous allez pouvoir réaliser de délicieux couscous mais aussi de nombreux plats à base de légumes, de riz, de viande blanche, de poisson et de crustacés.",Monde,Unité,Condiments et Epices,,
278,LAURIER 20G,"C'est un pilier de la cuisine au niveau mondial, le laurier n'a pas besoin qu'on lui dresse une couronne, c'est une des stars des herbes aromatiques. séché très aromatique, idéal pour dans votre cuisine !",Afrique,Unité,Condiments et Epices,,
279,GINGEMBRE MOULU 100G,"Très aromatique et légèrement poivré, il convient aussi bien aux crevettes grillées, aux sautés d'agneau, aux volailles, porc ou même à la préparation ",Afrique,Unité,Condiments et Epices,,
280,GINGEMBRE MOULU 500G,"Très aromatique et légèrement poivré, il convient aussi bien aux crevettes grillées, aux sautés d'agneau, aux volailles, porc ou même à la préparation ",Afrique,Unité,Condiments et Epices,,
281,GIROFLE ENTIER 50GR,"Une épice originaire du Giroflier, arbre poussant dans les régions tropicaux. On le retrouve en cuisine pour sa saveur typique et en médécine pour ses vertus thérapeutiques, comme pour soigner les dents, pour lutter contre les douleurs d'estomac ou problème gastrique.",Indonésie,Au poids,Condiments et Epices,,
282,GIROFLE MOULU 50G,"Une épice originaire du Giroflier, arbre poussant dans les régions tropicaux. On le retrouve en cuisine pour sa saveur typique et en médécine pour ses vertus thérapeutiques, comme pour soigner les dents, pour lutter contre les douleurs d'estomac ou problème gastrique.",Indonésie,Au poids,Condiments et Epices,,
283,MASSALE MOULU 100G,"D'origine réunionnaise, ce mélancge est utilisé en cuisine, principalement sur la viande d'agneau ou en sauce. Il est composé de coriande,cumin,curcuma,origan,fénugrec,gingembre,sel,muscade,piment fort,cardamome,girofle.",La Réunion,Au poids,Condiments et Epices,,
284,MOLOKHEYA MOULUE 100G,"C'est une poudre verte fabriquée avec les feuilles séchée de la corette. Elle est utilisée en cuisine à cause de son arôme et goût prononcé entre l'oseille et l'épinard, Riche en protéine,lipide,sels minéreaux, en vitamine B1,B2,B3 et B6 et plusieurs acides aminés.",Tunisie,Au pods,Condiments et Epices,,
285,MUSCADE ENTIER MOYEN 50G,"Pousse sur un arbre tropical. Issue du noyau du fruit du muscadier. Moulu elle est utilisée en cuisine ( gateaux, desserts...) pour son arôme puissant ",Indonésie,,Condiments et Epices,,
286,MUSCADE MOULU 50G,"Pousse sur un arbre tropical. Issue du noyau du fruit du muscadier. Moulu elle est utilisée en cuisine ( gateaux, desserts...) pour son arôme puissant et  pour ses vertues thérapeutiques.",Indonésie,Au poids,Condiments et Epices,,
287,PAPRIKA MOULU 100G,"Epice rouge fabriquée à base des mûr et piment doux ou poivron.Elle a un goût âcre et légèrement piquante.Riche en fer, potassium, , vitamine E, vitamine K et vitamine B2",Mexique,Au poids,Condiments et Epices,,
288,PERSIL 50GR,"C'est une plante riche en vitamines, en minéraux et en oligoéléments.Utilisé en cuisine pour son arôme, il a aussi des vertus et bienfaits sur la santé.",Europe,Au poids,Condiments et Epices,,
289,PIMENT DOUX ESPECIAL MOULU 100GR,"Utiliser spécialement pour relever le goût dans la préparation des sauces rouges, grillades de viande, bouillon.",Espagne,Au poids,Condiments et Epices,,
290,PIMENT FORT ENTIER 50G,"Encore appelé piment cayenne ou piment enragé,il est réputé pour sa forte saveur, exploxive, piquante, chauffante et pour son arôme. Il est utilisé pour relever les plats.",Espagne,Au poids,Condiments et Epices,,
291,PIMENT FORT MOULU 100G,"Encore appeler piment cayenne ou piment enragé, il est réputé pour sa forte saveur, exploxive, piquante, chauffante et pour son arôme. Il est utilisé pour relever les plats.",Espagne,Au poids,Condiments et Epices,,
292,PIMENT TYPE JAMAQIUE ENTIER 100G,"C'est une épice au saveur unique. Elle possède en elle le goût de 4 épices réunies; cannelle,clou de girofle et poivre.Elle a le pouvoir de rendre vos plats parfumés,légèrements poivrés, sucrés et salés.",Jamaique,Au poids,Condiments et Epices,,
293,PIMENT JAMAIQUE MOULU 100G,"C'est une épice au saveur unique. Elle possède en elle le goût de 4 épices réunies; cannelle,clou de girofle et poivre.Elle a le pouvoir de rendre vos plats parfumés,légèrements poivrés, sucrés et salés.",Jamaique,Au poids,Condiments et Epices,,
294,PISTACHE EN POUDRE 500G,"C'est une poudre verte réalisée à partir de fruit à coque pistachier, elle est utilisée en patisserie, pour la confession des crèmes, des sucreuries,..","Iran, Californie",Au poids,Condiments et Epices,,
295,POIVRE BLANC ENTIER 100G,"C'est une épice reconnue et utilisée de tous en cuisine et a un saveur piquante,douce et légère.",Inde,Au poids,Condiments et Epices,,
296,POIVRE BLANC MOULU 100G,"C'est une épice reconnue et utilisée de tous en cuisine et a un saveur piquante,douce et légère",Inde,Au poids,Condiments et Epices,,
297,POUDRE A COLOMBO 100GR,"C'est un mélange des épices,coriande,curcuma,cumin,moutarde,gingembre,ail, fenugrec, poivre noir, clou de girofle, avec goût doux et léger. Elle est une variante du curry indien. ce mélange est utilisé dans la préparation des plats antillais.",Antilles,Au poids,Condiments et Epices,,
298,QUATRE EPICES MOULU 100G,"Comme son nom l'indique, c'est le mélannge de quatre épices,poivre noir, muscade,clou de girofle, cannelle. L'épice est utilisée en cuisine, en charcuterie.",France,Au poids,Condiments et Epices,,
299,QUATRE EPICES MOULU 50G,"Comme son nom l'indique, c'est le mélannge de quatre épices,poivre noir, muscade,clou de girofle, cannelle. L'épice est utilisée en cuisine, en charcuterie",France,Au poids,Condiments et Epices,,
300,SESAME BLANC ENTIER 100G,"C'est un ingredient utilisé pour parfumer les sauces, les pains, les légumes, les salades et les omelettes...  Il est riche en vitamines, en fer, en antioxydants, en protéines, en lipides et en acide gras essentiels.",Afrique,Au poids,Condiments et Epices,,
302,TANDOORI MOULU 100G,Epice tres utilisé pen Inde pour assaisoner les plats,Inde,Au poids,Condiments et Epices,,
301,SESAME DORE ENTIER 100G,"Ingrédient utilisé pour parfumer les sauces, le pain le riz, les légumes, les salades et omelettes",Europe,Au poids,Condiments et Epices,,
303,JUS DE GINGEMBRE 1L JUS T'AIME,"Jus à base de gingembre aromatisé , sucrés",Afrique de l'ouest,Unité,Boisson,,
