num_image,nom_produit,description,origine,vente,type_produit,,
55,MILO 400G,"Poudre chocolatée accompagnera parfaitement vos thés au lait pour un
petit déjeuner parfait.",Afrique,à l'unité,Autres,,
56,Non attribué,,,,,,
57,Fufu plantain /le carton,"Pour obtenir le plat de fufu ou foutou préparez cette farine de banane
plantain dans de l’eau chaude jusqu’à obtenir une pate constante et homogène. Le foufou
se mange avec une sauce claire bien pimentée.",Côte d'Ivoire,à l'unité,Autres,,
58,Farine de manioc,"Le manioc est un tubercule cultivé dans les régions tropicales. Cette
farine est sans gluten, facile à digérer et favorise la satiété.",Côte d'Ivoire,à l'unité,Autres,,
59,Ebéssé fionfion / Piment grillé,"Ce bocal de piment rouge séché écrasé et grillé est un très bon
accompagnement pour vos plats de riz, de haricots et tout autre plat que vous aurez
envie de pimenter.",Togo,à l'unité,Condiments et Epices,,
60,Raisins,"Le raisin est un le raisin favorise l'évacuation des déchets de l’organisme
et est riche en fibres douces. Son jus limite la formation et favorise la bonne santé
des vaisseaux sanguins.",Brésil,au poids,Fruit,,
61,Litchi,"Les litchis sont des fruits juteux, doux, sucrés et agréablement parfumés. Ils
sont faciles à décortiquer et à déguster en une ou deux bouchées.",Madagascar,au poids,Fruit,,
62,Pastèque,"La pastèque est un fruit très hydratant et un bon coupe-faim. Il est un bon
allié pour vos apéros et vos desserts.",Afrique du Sud,au poids,Fruit,,
63,Cacahuètes,"Les cacahuètes sont riches en Vitamines B et en magnésium. Elles peuvent
se manger sans accompagnements ou avec du gari délayé comme au Togo et dans
certains pays de l’Afrique de l’Ouest.",Côte d'Ivoire,au poids,Autres,,
64,Kaki,"Le Kaki est un fruit riche en glucose, en vitamines C, en fibres en sels
minéraux et en phénols. Ces vertus sont très utiles pour prévenir les maladies.",Japon,au poids,Fruit,,
65,Figues de barbarie,"Les figues de barbarie régulent le transit et fournissent des fibres en
quantité considérable pour le corps.",Mexique,au poids,Fruit,,
66,Safou,Le safou est utilisé pour la préparation d'une crème onctueuse et savoureuse qui se marie bien avec les viandes et les poissons.,Congo,au poids,Fruit,,
67,Farine de maïs (éwô),"Le maïs est aussi connu pour son fort apport en vitamine A et en
potassuim. Vous pouvez manger les épis de maïs bouillis ou grillés ou préparer de la
pâte avec la farine de maïs.",Togo,au poids,Autres,,
68,Farine de maïs grillé (ewo tôtô),"La farine de maïs torréfié est un excellent allié pour vos préparations
de bouillies.",Togo,à l'unité,Autres,,
71,FARINE DE MIL 1KG,"La farine de mil est riche en vitamines et est utilisée dans la préparation de
bouillies et de pâtes.",Burkina-Faso,à l'unité,Autres,,
74,Haricots cornille (ayi),"Les haricots rouges sont riches en protéines, et dépourvus de graisses Ils
sont de bons alliés pour votre santé et contribuent à un régime alimentaire équilibré.",Madagascar,au poids,Autres,,
75,Soja,"Le soja peut se consommer fermenté, mais aussi en jus ou encore en
yaourt. L’huile de soja est également très utilisée dans le monde. Il peut également se
substituer à un morceau de viande ou de poisson.",Chine,au poids,Autres,,
76,Farine de cossette d'igname/telibô-amala,"La farine de cossette d’igname est utilisée pour fabriquer une pâte
noire à consistance élastique le ""télibo"". Cette pâte est très prisée dans certains pays de
l’Afrique de l’Ouest dont le Bénin.",Bénin,à l'unité,Autres,,
77,FARINE DE MIL 4KG,"Le mil est riche en magnésium, zinc, phosphore, potassium, fer et
calcium. Sa farine est utilisée dans la préparation de la pâte ou de la bouillie.",Burkina-Faso,à l'unité,Autres,,
79,Agbelima / Cassava/agbelima- placali-waterfufu /kg,"Le placali est une pâte de manioc fermentée. Ce plat d'origine ivoirienne se
déguste généralement avec la sauce graine, de la sauce gombo ou de la sauce de corète
potagère (Kplala, Adémè, Krinkrin ou Molokheya…).",Côte d'Ivoire,à l'unité,Tubercule,,
80,"Ema, mawoè, pate de maïs, /kg","La pâte de maïs, Ema ou Mawè au Togo au Bénin et au Ghana est obtenue
après avoir moulu du maïs préalablement lavé et humidifié. La préparation s’accompagne
de sauce.",Togo,à l'unité,Autres,,
82,Pitaya / Fruit du dragon,"Le pitaya ou fruit du dragon est riche en fibres et en antioxydants. Il se
déguste uniquement cru. Sa fleur peut être consommée sous forme de thé et sa chair
peut être utilisée pour concocter des sorbets, des jus de fruits ou salades de fruits.",Japon,au poids,Fruit,,
83,Baby kiwi/ Nergi,"Riche en vitamines E et C, le Nergi est connu pour ses qualités anti-oxydantes qui interviennent dans la lutte contre le vieillissement rapide de la peau. La vitamine C contenue dans ce fruit est reconnue pour son rôle antifatigue.",France,au poids,Fruit,,
84,Chérimole/ Anone,"Le chérimole est presque aussi sucré qu’une banane. Il se déguste à bonne
maturité, en le coupant en deux et en le mangeant à la cuillère. Attention à ne pas manger les
graines ou la peau. Ne pas attendre que la peau soit noire ou brune avant la consommation.",Pérou,au poids,Fruit,,
85,Sapotille,"La sapotille ou chiku, est un fruit de la taille d’un citron et qui ressemble un
peu à une pomme ovale. Sa très bonne teneur en fibres fait d’elle un très bon allié pour
lutter contre la constipation mais aussi contre le cancer du côlon.",Mexique,au poids,Fruit,,
86,Feijoa/la goyave de Montevideo ,"La goyave de Montevideo est riche en anti-oxydants et en vitamine C. Ces éléments
réduisent la prolifération anarchique des cellules cancéreuses et stimulent la défense de
notre organisme.",Brésil,au poids,Fruit,,
87,Tomatille,"La tomatille est légèrement gélatineuse et acidulée. Elle est apparentée
notamment à la tomate, à l’aubergine, au piment et à la pomme de terre. On l’utilise
surtout comme légume.",Mexique,au poids,Autres,,
88,Kumquat,"Le kumquat est un petit fruit chinois atypique qui ressemble à une orange
miniature. Il se conserve mieux à température ambiante, à l’abri de l’humidité et de la
chaleur. On l’utilise dans des salades de fruits, en compote ou confits.",Chine,au poids,Fruit,,
89,Après-shampooing Liss-Intense Elseve,"La texture onctueuse de ce démêlant enveloppe vos cheveux, les rend
souple et les protège durant plusieurs jours.",France,à l'unité,Cosmétiques,,
90,Olive Oil creme Shampoing,"L’huile d’olive est nourrissant pour le cuir chevelure et favorise une pousse
rapide.",Nigéria,à l'unité,Cosmétiques,,
91,Défrisant Dark and Lovely,"Ce défrisant sans soude est conçu pour permettre la coiffure facile des
cheveux.",Angleterre,à l'unité,Cosmétiques,,
92,Défrisant Dream Kids,"Ce défrisant contient de l’huile d’olive et est adapté pour le défrisage des
cheveux afro.",Angleterre,à l'unité,Cosmétiques,,
93,Après-Shampoing Soft-Sub,"Cet après-shampoing nourrit vos cheveux en profondeur, les rend soyeux
et leur donne un éclat et une brillance qui durera plusieurs semaines.",France,à l'unité,Cosmétiques,,
94,Shampoing Cantu,"Le shampoing Cantu nourrit et répare vos cheveux. Ces derniers
retrouveront leur brillance naturelle.",Ghana,à l'unité,Cosmétiques,,
